Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
32,Isaiah Crowell NYJ,11,23,53,33.1,6,35,3,5
33,Carlos Hyde CLE,11,19,54,34,6.3,34,1,5
34,Jamaal Williams GB,7,21,50,34.3,6,37,3,5
35,Marlon Mack IND,9,21,59,35.4,7,32,-3,5
36,C.J. Anderson CAR,4,21,57,35.5,6.9,40,4,5
37,Chris Thompson WAS,4,19,65,36.7,7.4,36,-1,5
38,Duke Johnson CLE,11,20,54,38.7,7,38,0,5
39,Tarik Cohen CHI,5,29,54,39.7,4.9,33,-6,5
40,Chris Carson SEA,7,25,67,41.4,9.5,42,2,6
41,Aaron Jones GB,7,17,72,42.1,9.2,41,0,6
42,Nick Chubb CLE,11,32,65,43,6.8,39,-3,6
43,Devontae Booker DEN,10,32,75,46.9,7.6,43,0,6
44,Ty Montgomery GB,7,32,65,46.9,7.2,44,0,6
45,Bilal Powell NYJ,11,26,84,48.1,9.3,56,11,6
46,Giovani Bernard CIN,9,33,67,47.1,6.8,52,6,6
47,Samaje Perine WAS,4,30,97,52.8,13.8,60,13,6
48,Peyton Barber TB,5,30,74,50.6,9.5,58,10,6
49,Corey Clement PHI,9,32,84,50.2,9.6,48,-1,6
50,D'Onta Foreman HOU,10,29,81,53.2,9.7,45,-5,6
51,Matt Breida SF,11,38,72,52.4,7.9,51,0,7
52,Latavius Murray MIN,10,24,71,51.9,7.6,50,-2,7
53,LeGarrette Blount DET,6,26,76,53.1,8,47,-6,7
54,Nyheim Hines IND,9,29,73,54.1,8.4,49,-5,7
55,Jordan Wilkins IND,9,37,120,58.6,13.8,57,2,7
56,Doug Martin OAK,7,37,74,53.6,7.3,53,-3,7
57,Theo Riddick DET,6,36,82,52.7,6.8,54,-3,7
58,Robert Kelley WAS,4,26,106,59.9,16.2,55,-3,7
59,James White NE,11,40,71,52.9,5.8,46,-13,7
60,Frank Gore MIA,11,30,75,55.6,7.2,61,1,7
61,Chris Ivory BUF,11,40,80,58.4,9,69,8,7
62,Kenneth Dixon BAL,10,41,84,61.9,9,66,4,7
63,Austin Ekeler LAC,8,39,79,60.8,8.3,59,-4,7
64,Kalen Ballage MIA,11,36,134,68.5,13.2,63,-1,7
65,Javorius Allen BAL,10,43,80,63.9,7.9,68,3,8
66,Spencer Ware KC,12,41,79,61.7,7,67,1,8
